"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000028255"	740.2744252834	-1.96033490087714	0.289247932011434	-6.77735148267077	1.22398866363785e-11	1.17441712276051e-07
"ENSMUSG00000002980"	160.973581682919	1.43164849803118	0.230249327950111	6.21781835706979	5.04114638220500e-10	1.85688603373402e-06
"ENSMUSG00000029561"	476.354296329725	-1.96989551818747	0.31794996227187	-6.19561488264331	5.8057927057864e-10	1.85688603373402e-06
"ENSMUSG00000029657"	901.249584138076	1.98836740038259	0.329684074359145	6.03112966329256	1.62817480765296e-09	3.90558431985754e-06
"ENSMUSG00000049350"	208.559826114344	-2.62482748055405	0.445317431726357	-5.89428415226958	3.76309133080412e-09	7.22137226381311e-06
"ENSMUSG00000089774"	292.550901853198	1.23538755970434	0.212067548852194	5.82544366825959	5.69610707639281e-09	9.1090245663315e-06
"ENSMUSG00000033032"	450.395018710738	1.27581679846817	0.223186381520183	5.71637386554785	1.08821177306922e-08	1.49162742322845e-05
"ENSMUSG00000019278"	205.043342973761	-1.76772227140622	0.317297636994389	-5.57118006976358	2.53019647336798e-08	2.75857097392708e-05
"ENSMUSG00000025498"	478.36567277975	-1.64605464731869	0.295666018973055	-5.56727706834885	2.58750794844645e-08	2.75857097392708e-05
"ENSMUSG00000020823"	357.574238800523	1.19454945128235	0.21620032829346	5.52519721274856	3.29115712166943e-08	3.12280090596102e-05
"ENSMUSG00000033491"	54.79210749218	3.75048339403324	0.680618368438115	5.51040578384603	3.58007399328517e-08	3.12280090596102e-05
"ENSMUSG00000037921"	310.573966380115	-1.8627123200696	0.344094001830197	-5.41338212861032	6.18453112428043e-08	4.9450480114559e-05
"ENSMUSG00000057346"	121.92481936336	-2.06517779819235	0.389279635210963	-5.30512672997438	1.1259474458526e-07	7.43221825175626e-05
"ENSMUSG00000071711"	790.960956767191	-1.35974668980499	0.256464451871599	-5.30189147026798	1.14608972299196e-07	7.43221825175626e-05
"ENSMUSG00000078566"	179.280769058262	-2.15697857449223	0.407023780425269	-5.29939202136682	1.16188925248925e-07	7.43221825175626e-05
"ENSMUSG00000032661"	318.996539983966	-1.74630673883574	0.332362509555546	-5.25422299034568	1.48650691305964e-07	8.9143961442545e-05
"ENSMUSG00000030451"	389.979881332998	0.984082798387761	0.187879257158693	5.2378469729447	1.62460676874416e-07	9.16947173300011e-05
"ENSMUSG00000090877"	1957.68351553709	1.38001375423014	0.267041924606053	5.16777938994401	2.3689169042833e-07	0.000126276431647768
"ENSMUSG00000035692"	60.5497218347577	-2.4488405005434	0.482761674107765	-5.07256609603346	3.92486743783526e-07	0.000198205805610681
"ENSMUSG00000004317"	274.775816758226	0.997049875217032	0.198627610749473	5.0196942482211	5.17537880972594e-07	0.000248288798396602
"ENSMUSG00000023067"	829.098873567167	-0.786128124097306	0.157562906284306	-4.98929692677044	6.05994404417792e-07	0.000276881729066129
"ENSMUSG00000067206"	205.334287631436	-1.28985787160992	0.26263182003341	-4.91127796870094	9.04847074869572e-07	0.000394636712880616
"ENSMUSG00000053279"	2293.48613045588	-1.24956279305534	0.254995032965103	-4.90034169891592	9.56701167314767e-07	0.000399110769581965
"ENSMUSG00000025993"	234.323816841057	-1.73925291952615	0.356044810534761	-4.88492703183591	1.03467164282518e-06	0.000413653100537816
"ENSMUSG00000026701"	4748.99008758795	-0.689017869330376	0.143676601278477	-4.79561642744393	1.62175342307956e-06	0.000607345512994411
"ENSMUSG00000025757"	788.825412969208	1.6150889963571	0.337524832055191	4.7850968076121	1.7090493851849e-06	0.000607345512994411
"ENSMUSG00000115951"	788.825412969208	1.6150889963571	0.337524832055191	4.7850968076121	1.7090493851849e-06	0.000607345512994411
"ENSMUSG00000032470"	306.778493162931	1.71380941696719	0.360630863967483	4.75225386455475	2.01161577558928e-06	0.000689337620242112
"ENSMUSG00000033355"	121.165435833926	-1.48344936375154	0.314222667106475	-4.72101321464778	2.34672690050312e-06	0.000776442917597499
"ENSMUSG00000030103"	631.636175370527	-0.795799380702346	0.169166508201854	-4.70423719896598	2.54816858894084e-06	0.000814989253696245
"ENSMUSG00000035105"	777.981924029072	-1.41759046629119	0.303776317124064	-4.66656018386135	3.06283961882573e-06	0.000947998262665576
"ENSMUSG00000037685"	507.323416306536	-0.844434840786356	0.1826703385405	-4.62272554774478	3.78730660338908e-06	0.00107379169006879
"ENSMUSG00000074896"	49.7110696885937	-2.13404426475604	0.462010593475476	-4.61903751752246	3.85524152221782e-06	0.00107379169006879
"ENSMUSG00000006494"	326.928838268774	-0.987592627212983	0.213909334520173	-4.6168748522746	3.89562032144537e-06	0.00107379169006879
"ENSMUSG00000024597"	2351.12900737359	1.1925211059018	0.258359485653801	4.61574345870839	3.9169055917048e-06	0.00107379169006879
"ENSMUSG00000019970"	187.399053399801	1.36862678645372	0.296955382701282	4.60886337201192	4.0487627293308e-06	0.00107910773299803
"ENSMUSG00000030483"	62.4769162309468	-2.18335870976443	0.482738262474765	-4.52286234484793	6.10089201984313e-06	0.00158210970082148
"ENSMUSG00000030660"	1038.68003267057	0.618047429103171	0.137381574842908	4.49876506227194	6.83493398626448e-06	0.00172582083153178
"ENSMUSG00000001123"	366.268224231885	-1.33908046207491	0.298222901979446	-4.49019995844318	7.11563430827799e-06	0.00175062849199814
"ENSMUSG00000003847"	1109.0810519519	1.00334480537652	0.224205318716269	4.47511598351618	7.6369844586535e-06	0.0018106834010732
"ENSMUSG00000039376"	41.3953425587991	2.28607751803307	0.511160187917439	4.47233092887569	7.73715679458062e-06	0.0018106834010732
"ENSMUSG00000030287"	41.0500071209423	2.52731913885039	0.569874800540111	4.43486733657124	9.21290042844499e-06	0.00210470903835547
"ENSMUSG00000040703"	382.009885003091	-1.68816661488145	0.382969915338687	-4.40809198651672	1.04285255398614e-05	0.00225294133074378
"ENSMUSG00000030208"	9575.20881204851	-0.860594430825982	0.195450020094237	-4.40314321999581	1.06693680212369e-05	0.00225294133074378
"ENSMUSG00000001891"	844.533138569066	-0.689611556075075	0.156661886760656	-4.40191019228976	1.0730197368941e-05	0.00225294133074378
"ENSMUSG00000022546"	212.376760909387	-1.3770757390222	0.313026527174964	-4.39923015934203	1.08635563841183e-05	0.00225294133074378
"ENSMUSG00000032038"	2227.05459765294	-1.06253056746464	0.241714105003208	-4.39581532674951	1.10357730635704e-05	0.00225294133074378
"ENSMUSG00000040274"	329.306452639519	0.936212758218301	0.21328025299228	4.38958949590232	1.13564834263681e-05	0.00227011371825004
